series,operator,circle
9490,CG,AP
9491,CG,AP
9492,CG,AP
9493,CG,AP
9494,CG,AP
9495,CG,KL
9496,CG,KL
9497,CG,KL
9498,CG,TN
9499,CG,TN
9500,AT,TN
9501,AT,PB
9502,AT,AP
9503,AT,MH
9504,,
9505,VI,AP
9506,VI,UE
9507,VI,BR
9508,RJ,BR
9509,RJ,RJ
9510,RJ,GJ
9511,RJ,MH
9512,VI,GJ
9513,VI,KA
9514,,
9515,AT,AP
9516,,
9517,,
9518,RJ,MH
9519,,
9520,,
9521,,
9522,,
9523,,
9524,,
9525,VI,BR
9526,VI,KL
9527,VI,MH
9528,RJ,UW
9529,RJ,MH
9530,CG,RJ
9531,CG,WB
9532,CG,UE
9533,,
9534,VI,BR
9535,AT,KA
9536,VI,UW
9537,VI,GJ
9538,VI,KA
9539,VI,KL
9540,VI,DL
9541,AT,JK
9542,VI,AP
9543,,
9544,VI,KL
9545,VI,MH
9546,AT,BR
9547,AT,WB
9548,RJ,UW
9549,VI,RJ
9550,AT,AP
9551,,
9552,VI,MH
9553,VI,AP
9554,VI,UE
9555,RJ,UE
9556,AT,OR
9557,AT,UW
9558,AT,GJ
9559,AT,UE
9560,AT,DL
9561,AT,MH
9562,VI,KL
9563,,
9564,VI,WB
9565,VI,UE
9566,AT,TN
9567,AT,KL
9568,VI,UW
9569,RJ,UE
9570,VI,BR
9571,AT,RJ
9572,AT,BR
9573,AT,AP
9574,VI,GJ
9575,VI,MP
9576,VI,BR
9577,,
9578,,
9579,RJ,MH
9580,RJ,UE
9581,VI,AP
9582,VI,DL
9583,VI,OR
9584,VI,MP
9585,VI,TN
9586,VI,GJ
9587,VI,RJ
9588,RJ,HR
9589,AT,MP
9590,,
9591,AT,KA
9592,VI,PB
9593,VI,WB
9594,VI,MU
9595,,
9596,AT,JK
9597,AT,TN
9598,VI,UE
9599,AT,DL
9600,AT,TN
9601,AT,GJ
9602,AT,RJ
9603,VI,AP
9604,VI,MH
9605,VI,KL
9606,AT,KA
9607,,
9608,RJ,BR
9609,VI,WB
9610,VI,RJ
9611,AT,KA
9612,AT,NE
9613,,
9614,,
9615,,
9616,VI,UE
9617,VI,MP
9618,AT,AP
9619,VI,MU
9620,VI,KA
9621,AT,UE
9622,AT,JK
9623,VI,MH
9624,VI,GJ
9625,RJ,DL
9626,VI,TN
9627,VI,UW
9628,VI,UE
9629,AT,TN
9630,AT,MP
9631,AT,BR
9632,AT,KA
9633,AT,KL
9634,AT,UW
9635,AT,WB
9636,AT,RJ
9637,VI,MH
9638,VI,GJ
9639,VI,UW
9640,VI,AP
9641,RJ,WB
9642,VI,AP
9643,VI,DL
9644,VI,MP
9645,VI,KL
9646,VI,PB
9647,VI,WB
9648,VI,UE
9649,VI,RJ
9650,AT,DL
9651,AT,UE
9652,AT,AP
9653,RJ,UE
9654,VI,DL
9655,VI,TN
9656,VI,KL
9657,VI,MH
9658R,,
9659,,
9660,AT,RJ
9661,AT,BR
9662,AT,GJ
9663,AT,KA
9664,RJ,GJ
9665,AT,MH
9666,VI,AP
9667,AT,DL
9668,AT,OR
9669,VI,MP
9670,VI,UE
9671,VI,HR
9672,VI,RJ
9673,VI,MH
9674,VI,KO
9675,VI,UW
9676,AT,AP
9677,AT,TN
9678,AT,AS
9679,AT,WB
9680,AT,RJ
9681,,
9682,RJ,JK
9683,CG,HR
9684,CG,MH
9685,AT,MP
9686,AT,KA
9687,VI,GJ
9688,,
9689,VI,MH
9690,VI,UW
9691,RJ,MP
9692,RJ,OR
9693,RJ,BR
9694,VI,RJ
9695,AT,UE
9696,RJ,UE
9697,,
9698,,
9699,,
9700,AT,AP
9701,VI,MU
9702,VI,AP
9703,AT,AP
9704,VI,AP
9705,VI,AS
9706,AT,AS
9707,VI,BR
9708,VI,BR
9709,,
9710,VI,DL
9711,VI,GJ
9712,VI,MP
9713,VI,GJ
9714,,
9715,,
9716,AT,DL
9717,VI,DL
9718,VI,UW
9719,VI,UW
9720,VI,UE
9721,,
9722,VI,GJ
9723,AT,GJ
9724,AT,GJ
9725,VI,GJ
9726,VI,GJ
9727,VI,HR
9728,AT,HR
9729,AT,MH
9730,AT,KA
9731,VI,WB
9732,VI,WB
9733,VI,WB
9734,VI,WB
9735,VI,HP
9736,VI,GJ
9737,,
9738,VI,KA
9739,AT,KA
9740,AT,KA
9741,VI,KA
9742,VI,KA
9743,VI,KL
9744,VI,KL
9745,AT,KL
9746,VI,KL
9747,AT,KO
9748,RJ,WB
9749,,
9750,VI,TN
9751,AT,MP
9752,VI,MP
9753,VI,MP
9754,AT,MP
9755,VI,UW
9756,,
9757,VI,UW
9758,VI,UW
9759,AT,UW
9760,VI,UW
9761,,
9762,VI,MH
9763,VI,MH
9764,VI,MH
9765,AT,MH
9766,VI,MH
9767,,
9768,VI,MU
9769,RJ,MP
9770,AT,BR
9771,VI,RJ
9772,AT,DL
9773,VI,NE
9774,VI,WB
9775,VI,OR
9776,AT,OR
9777,RJ,KL
9778,AT,PB
9779,VI,PB
9780,VI,PB
9781,,
9782,VI,RJ
9783,AT,TN
9784,VI,RJ
9785,VI,TN
9786,VI,TN
9787,,
9788,AT,TN
9789,AT,TN
9790,AT,TN
9791,VI,UE
9792,AT,UE
9793,AT,UE
9794,VI,UE
9795,VI,JK
9796,AT,JK
9797,RJ,BR
9798,AT,RJ
9799,,
9800,AT,WB
9801,AT,BR
9802,,
9803,,
9804,,
9805,AT,HP
9806,,
9807,,
9808,,
9809,,
9810,AT,DL
9811,VI,DL
9812,VI,HR
9813,VI,HR
9814,VI,PB
9815,AT,PB
9816,AT,HP
9817,RJ,HR
9818,AT,DL
9819,VI,MU
9820,VI,MU
9821,AT,DL
9822,VI,MH
9823,VI,MH
9824,VI,GJ
9825,VI,GJ
9826,VI,MP
9827,RJ,OR
9828,VI,RJ
9829,AT,RJ
9830,VI,KO
9831,AT,KO
9832,RJ,WB
9833,VI,MU
9834,AT,MH
9835,RJ,BR
9836,VI,KO
9837,VI,UW
9838,VI,UE
9839,VI,UE
9840,AT,TN
9841,,
9842,RJ,AS
9843,VI,TN
9844,VI,KA
9845,AT,KA
9846,VI,KL
9847,VI,KL
9848,VI,AP
9849,AT,AP
9850,VI,MH
9851,,
9852,,
9853,,
9854,,
9855,VI,PB
9856,,
9857,,
9858,,
9859,,
9860,AT,MH
9861,RJ,OR
9862,AT,NE
9863,RJ,NE
9864,RJ,AS
9865,RJ,KA
9866,AT,AP
9867,AT,MU
9868,,
9869,,
9870,AT,DL
9871,AT,DL
9872,AT,PB
9873,VI,DL
9874,VI,KO
9875,RJ,KO
9876,AT,PB
9877,RJ,PB
9878,AT,PB
9879,VI,GJ
9880,AT,KA
9881,VI,MH
9882,VI,HP
9883,RJ,WB
9884,VI,TN
9885,VI,AP
9886,VI,KA
9887,VI,RJ
9888,VI,PB
9889,VI,UE
9890,AT,MH
9891,VI,DL
9892,AT,MU
9893,AT,MP
9894,AT,TN
9895,AT,KL
9896,AT,HR
9897,AT,UW
9898,AT,GJ
9899,VI,DL
9900,AT,KA
9901,AT,KA
9902,AT,KA
9903,AT,KO
9904,VI,GJ
9905,RJ,BR
9906,AT,JK
9907,RJ,WB
9908,AT,AP
9909,VI,GJ
9910,AT,DL
9911,VI,DL
9912,VI,AP
9913,VI,GJ
9914,VI,PB
9915,AT,PB
9916,VI,KA
9917,VI,UW
9918,VI,UE
9919,VI,UE
9920,VI,MU
9921,VI,MH
9922,VI,MH
9923,VI,MH
9924,VI,GJ
9925,VI,GJ
9926,VI,MP
9927,VI,UW
9928,AT,RJ
9929,AT,RJ
9930,AT,MU
9931,AT,BR
9932,AT,WB
9933,AT,WB
9934,AT,BR
9935,AT,UE
9936,AT,UE
9937,AT,OR
9938,AT,OR
9939,AT,BR
9940,AT,TN
9941,AT,TN
9942,RJ,BR
9943,VI,TN
9944,AT,TN
9945,AT,KA
9946,VI,KL
9947,VI,KL
9948,VI,AP
9949,AT,AP
9950,AT,RJ
9951,,
9952,AT,TN
9953,VI,DL
9954,AT,AS
9955,AT,BR
9956,AT,UE
9957,AT,AS
9958,AT,DL
9959,AT,AP
9960,AT,MH
9961,VI,KL
9962,VI,TN
9963,AT,AP
9964,VI,KA
9965,,
9966,VI,AP
9967,AT,MU
9968,,
9969,,
9970,AT,MH
9971,AT,DL
9972,AT,KA
9973,AT,BR
9974,AT,GJ
9975,AT,MH
9976,,
9977,VI,MP
9978,VI,GJ
9979,VI,GJ
9980,AT,KA
9981,AT,MP
9982,VI,RJ
9983,VI,RJ
9984,VI,UE
9985,VI,AP
9986,VI,KA
9987,AT,MU
9988,VI,PB
9989,AT,AP
9990,VI,DL
9991,VI,HR
9992,VI,HR
9993,AT,MP
9994,AT,TN
9995,AT,KL
9996,AT,HR
9997,AT,UW
9998,AT,GJ
9999,VI,DL
