series,operator,circle
8451,AT,MH
8454,AT,MH
8457,CG,KL
8465,VI,AP
8469,VI,GJ
8473,AT,UW
8476,VI,UW
8477,VI,UW
8480,CG,OR
8483,AT,MH
8484,AT,MH
8485,AT,MH
8486,VI,AS
8489,VI,TN
8492,AT,JK
8494,VI,KA
8495,VI,KA
8496,VI,KA
8497,VI,KA
8499,VI,MH
8550,VI,KA
8551,VI,MH
8552,VI,MH
8555,RJ,AP
8557,VI,PB
8558,VI,PB
8570,AT,HR
8571,AT,HR
8572,AT,HR
8574,AT,UE
8577,VI,UW
8578,VI,BR
8579,VI,BR
8582,AT,WB
8583,AT,WB
8584,AT,WB
8585,VI,DL
8586,VI,DL
8587,VI,DL
8588,VI,DL
8590,RJ,KL
8592,VI,KL
8595,RJ,DL
8599,VI,OR
8651,VI,BR
8652,VI,MH
8653,AT,WB
8657,VI,MH
8658,AT,OR
8660,RJ,KA
8667,RJ,TN
8668,RJ,MH
8669,VI,MH
8670,AT,WB
8674,VI,BR
8676,VI,BR
8677,VI,BR
8678,VI,BR
8680,VI,TN
8681,VI,TN
8682,VI,TN
8683,VI,HR
8684,VI,HR
8685,VI,HR
8689,VI,MH
8690,AT,RJ
8691,VI,MH
8696,VI,RJ
8697,VI,WB
8698,VI,MH
8699,AT,PB
8750,VI,DL
8752,CG,AP
8754,AT,TN
8755,AT,UW
8756,AT,UE
8757,AT,BR
8758,VI,GJ
8762,CC,KA
8763,CG,OR
8764,CG,RJ
8765,CG,UE
8766,RJ,DL
8768,VI,WB
8769,AT,RJ
8770,RJ,MP
8777,RJ,WB
8778,RJ,TN
8779,RJ,MH
8780,RJ,GJ
8787,RJ,MH
8788,RJ,MH
8789,RJ,BR
8790,AT,AP
8794,VI,NE
8795,VI,UE
8851,RJ,DL
8965,VI,MP
8967,AT,WB
8968,AT,PB
8969,AT,BR
8970,VI,KA
8971,AT,KA
8972,AT,WB
8974,AT,NE
8975,VI,MH
8978,AT,AP
8979,AT,UW
8980,VI,GJ
8985,CG,AP
8986,CG,BR
8987,CG,BR
8988,CG,HP
8989,CG,MP
8990,RJ,PB
8991,CG,MH
8992,CG,PB
8993,CG,RJ
8994,CG,TN
8995,CG,UW
8997,AT,RJ
8999,RJ,MH
8500,CG,AP
8501,VI,AP
8502,VI,RJ
8503,VI,RJ
8504,VI,RJ
8505,VI,DL
8506,VI,DL
8509,RJ,WB
8510,VI,DL
8511,AT,GJ
8512,VI,DL
8513,VI,WB
8514,VI,WB
8515,VI,WB
8516,VI,MP
8517,VI,MP
8518,VI,MP
8521,AT,BR
8522,AT,AP
8527,AT,DL
8528,AT,UE
8529,VI,HR
8530,AT,MH
8532,AT,UW
8536,VI,WB
8538,AT,BR
8539,AT,BR
8540,AT,BR
8543,AT,UE
8544,CG,BR
8546,VI,KA
8547,CG,KL
8548,VI,RJ
8549,VI,KA
8600,AT,MP
8601,VI,UE
8605,VI,MH
8606,VI,KL
8607,VI,HR
8608,VI,TN
8609,VI,WB
8610,RJ,TN
8617,RJ,WB
8618,RJ,KA
8630,RJ,UW
8639,RJ,AP
8640,RJ,DL
8647,RJ,UE
8648,RJ,HR
8649,RJ,BR
8703,VI,JK
8704,AT,KL
8705,VI,JK
8706,VI,JK
8712,VI,KA
8714,VI,AS
8716,VI,UE
8718,VI,PB
8731,VI,RJ
8732,VI,DL
8733,VI,DL
8734,VI,DL
8735,VI,DL
8736,VI,KA
8737,VI,KA
8738,VI,KA
8739,VI,KA
8800,AT,DL
8805,VI,MH
8806,VI,MH
8807,AT,TN
8808,VI,UE
8809,AT,BR
8810,RJ,DL
8811,AT,AS
8813,VI,HR
8814,VI,HR
8815,RJ,MP
8816,VI,HR
8823,VI,MP
8824,RJ,RJ
8825,RJ,JK
8826,AT,DL
8827,AT,MP
8828,VI,MH
8838,RJ,TN
8839,RJ,MP
8840,RJ,UE
8848,RJ,KL
8849,RJ,GJ
8900,CG,WB
8901,CG,HR
8902,CG,WB
8903,CG,TN
8905,AT,RJ
8910,RJ,WB
8917,RJ,OR
8918,RJ,WB
8919,RJ,AP
8920,RJ,DL
8921,RJ,KL
8923,AT,UW
8929,VI,DL
8930,VI,HR
8933,VI,UE
8934,VI,UE
8935,VI,UE
8938,VI,UW
8939,VI,TN
8940,VI,TN
8943,VI,KL
8948,VI,UE
8949,RJ,RJ
