Series,Operator,Circle,Series,Operator,Circle,Series,Operator,Circle,Series,Operator,Circle,Series,Operator,Circle,Series,Operator,Circle,Series,Operator,Circle,Series,Operator,Circle,Series,Operator,Circle,Series,Operator,Circle
9000,AT,AP,9100,AT,AP,9200,AT,MP,9300,,,9400,CG,KL,9500,AT,TN,9600,AT,TN,9700,,,9800,AT,WB,9900,AT,KA
9001,AT,RJ,9101,RJ,AS,9201,RJ,MP,9301,RJ,MP,9401,CG,AS,9501,AT,PB,9601,AT,GJ,9701,AT,AP,9801,AT,BR,9901,AT,KA
9002,AT,WB,9102,AT,BR,9202,RJ,MP,9302,RJ,MP,9402,CG,NE,9502,AT,AP,9602,AT,RJ,9702,VI,MU,9802,,,9902,AT,KA
9003,AT,TN,9103,AT,AP,9203,RJ,MP,9303,,,9403,CG,MH,9503,AT,MH,9603,VI,AP,9703,VI,AP,9803,,,9903,AT,KO
9004,AT,MU,9104,AT,GJ,9204,RJ,BR,9304,RJ,BR,9404,CG,MH,9504,,,9604,VI,MH,9704,AT,AP,9804,,,9904,VI,GJ
9005,AT,UE,9105,,,9205,AT,DL,9305,RJ,UE,9405,CG,MH,9505,VI,AP,9605,VI,KL,9705,VI,AP,9805,AT,HP,9905,RJ,BR
9006,AT,BR,9106,,,9206,,,9306,RJ,HR,9406,CG,MP,9506,VI,UE,9606,AT,KA,9706,VI,AS,9806,,,9906,AT,JK
9007,AT,KO,9107,,,9207,VI,KL,9307,,,9407,CG,MP,9507,VI,BR,9607,,,9707,AT,AS,9807,,,9907,RJ,WB
9008,AT,KA,9108,AT,KA,9208,,,9308,RJ,OR,9408,CG,GJ,9508,RJ,BR,9608,RJ,BR,9708,VI,BR,9808,,,9908,AT,AP
9009,VI,MP,9109,AT,MP,9209,,,9309,RJ,MH,9409,CG,GJ,9509,RJ,RJ,9609,VI,WB,9709,VI,BR,9809,,,9909,VI,GJ
9010,VI,AP,9110,RJ,KA,9210,,,9310,RJ,DL,9410,CG,UW,9510,RJ,GJ,9610,VI,RJ,9710,,,9810,AT,DL,9910,AT,DL
9011,VI,MH,9111,VI,MP,9211,,,9311,AT,DL,9411,CG,UW,9511,RJ,MH,9611,AT,KA,9711,VI,DL,9811,VI,DL,9911,VI,DL
9012,VI,UW,9112,VI,MH,9212,,,9312,,DL,9412,CG,UW,9512,VI,GJ,9612,AT,NE,9712,VI,GJ,9812,VI,HR,9912,VI,AP
9013,CG,DL,9113,RJ,KA,9213,,,9313,RJ,GJ,9413,CG,RJ,9513,VI,KA,9613,,,9713,VI,MP,9813,VI,HR,9913,VI,GJ
9014,RJ,AP,9114,,,9214,RJ,UE,9314,,,9414,CG,RJ,9514,,,9614,,,9714,VI,GJ,9814,VI,PB,9914,VI,PB
9015,RJ,HP,9115,,,9215,RJ,GJ,9315,RJ,DL,9415,CG,UE,9515,AT,AP,9615,,,9715,,,9815,AT,PB,9915,AT,PB
9016,RJ,GJ,9116,,,9216,AT,RJ,9316,RJ,GJ,9416,CG,HR,9516,,,9616,VI,UE,9716,,,9816,AT,HP,9916,VI,KA
9017,,,9117,VI,BR,9217,,,9317,RJ,HP,9417,CG,PB,9517,,,9617,VI,MP,9717,AT,DL,9817,RJ,HR,9917,VI,UW
9018,,,9118,,,9218,RJ,DL,9318,RJ,DL,9418,CG,HP,9518,RJ,MH,9618,AT,AP,9718,VI,DL,9818,AT,DL,9918,VI,UE
9019,RJ,KA,9119,,,9219,RJ,UE,9319,AT,DL,9419,CG,JK,9519,,,9619,VI,MU,9719,VI,UW,9819,VI,MU,9919,VI,UE
9020,,,9120,,,9220,,,9320,,,9420,CG,MH,9520,,,9620,VI,KA,9720,VI,UW,9820,VI,MU,9920,VI,MU
9021,RJ,MH,9121,AT,AP,9221,,,9321,RJ,MU,9421,CG,MH,9521,,,9621,AT,UE,9721,VI,UE,9821,AT,DL,9921,VI,MH
9022,RJ,MH,9122,AT,BR,9222,,,9322,RJ,MH,9422,CG,MH,9522,,,9622,AT,JK,9722,,,9822,VI,MH,9922,VI,MH
9023,RJ,GJ,9123,RJ,KO,9223,,,9323,,,9423,CG,MH,9523,,,9623,VI,MH,9723,VI,GJ,9823,VI,MH,9923,VI,MH
9024,RJ,RJ,9124,AT,OR,9224,RJ,MU,9324,RJ,MU,9424,CG,MP,9524,,,9624,VI,GJ,9724,AT,GJ,9824,VI,GJ,9924,VI,GJ
9025,RJ,TN,9125,AT,UE,9225,,,9325,RJ,MH,9425,CG,MP,9525,VI,BR,9625,RJ,DL,9725,AT,GJ,9825,VI,GJ,9925,VI,GJ
9026,RJ,UE,9126,AT,WB,9226,RJ,MH,9326,RJ,MU,9426,CG,GJ,9526,VI,KL,9626,VI,TN,9726,VI,GJ,9826,VI,MP,9926,VI,MP
9027,RJ,UW,9127,,,9227,RJ,GJ,9327,RJ,GJ,9427,CG,GJ,9527,VI,MH,9627,VI,UW,9727,VI,GJ,9827,RJ,OR,9927,VI,UW
9028,AT,MH,9128,VI,BR,9228,,,9328,RJ,GJ,9428,CG,GJ,9528,RJ,UW,9628,VI,UE,9728,VI,HR,9828,VI,RJ,9928,AT,RJ
9029,AT,MU,9129,AT,UE,9229,RJ,BR,9329,,,9429,CG,GJ,9529,RJ,MH,9629,AT,TN,9729,AT,HR,9829,AT,RJ,9929,AT,RJ
9030,AT,AP,9130,VI,MH,9230,RJ,KO,9330,RJ,KO,9430,CG,BR,9530,CG,RJ,9630,AT,MP,9730,AT,MH,9830,VI,KO,9930,AT,MU
9031,AT,BR,9131,RJ,MP,9231,,,9331,,,9431,CG,BR,9531,CG,WB,9631,AT,BR,9731,AT,KA,9831,AT,KO,9931,AT,BR
9032,AT,AP,9132,,,9232,,,9332,,,9432,CG,KO,9532,CG,UE,9632,AT,KA,9732,VI,WB,9832,RJ,WB,9932,AT,WB
9033,AT,GJ,9133,,,9233,AT,NE,9333,,,9433,CG,KO,9533,,,9633,AT,KL,9733,VI,WB,9833,VI,MU,9933,AT,WB
9034,AT,HR,9134,,,9234,RJ,BR,9334,RJ,BR,9434,CG,WB,9534,VI,BR,9634,AT,UW,9734,VI,WB,9834,AT,MH,9934,AT,BR
9035,AT,KA,9135,VI,BR,9235,RJ,UE,9335,RJ,UE,9435,CG,AS,9535,AT,KA,9635,AT,WB,9735,VI,WB,9835,RJ,BR,9935,AT,UE
9036,AT,KA,9136,AT,MU,9236,RJ,UE,9336,RJ,UE,9436,CG,NE,9536,VI,UW,9636,AT,RJ,9736,VI,HP,9836,VI,KO,9936,AT,UE
9037,AT,KL,9137,RJ,MU,9237,RJ,OR,9337,RJ,OR,9437,CG,OR,9537,VI,GJ,9637,VI,MH,9737,VI,GJ,9837,VI,UW,9937,AT,OR
9038,AT,KO,9138,AT,HR,9238,RJ,MP,9338,,,9438,CG,OR,9538,VI,KA,9638,VI,GJ,9738,,,9838,VI,UE,9938,AT,OR
9039,AT,MP,9139,,,9239,RJ,WB,9339,,,9439,CG,OR,9539,VI,KL,9639,VI,UW,9739,VI,KA,9839,VI,UE,9939,AT,BR
9040,AT,OR,9140,RJ,UE,9240,AT,TN,9340,RJ,MP,9440,CG,AP,9540,VI,DL,9640,VI,AP,9740,AT,KA,9840,AT,TN,9940,AT,TN
9041,AT,PB,9141,CG,KA,9241,RJ,BR,9341,RJ,BR,9441,CG,AP,9541,AT,JK,9641,RJ,WB,9741,AT,KA,9841,,,9941,AT,TN
9042,AT,TN,9142,RJ,BR,9242,RJ,WB,9342,RJ,TN,9442,CG,TN,9542,VI,AP,9642,VI,AP,9742,VI,KA,9842,RJ,AS,9942,RJ,BR
9043,AT,TN,9143,,,9243,,,9343,RJ,MP,9443,CG,TN,9543,,,9643,VI,DL,9743,VI,KA,9843,VI,TN,9943,VI,TN
9044,AT,UE,9144,,,9244,RJ,MP,9344,RJ,TN,9444,CG,TN,9544,VI,KL,9644,VI,MP,9744,VI,KL,9844,VI,KA,9944,AT,TN
9045,AT,UW,9145,,,9245,RJ,NE,9345,RJ,TN,9445,CG,TN,9545,VI,MH,9645,VI,KL,9745,VI,KL,9845,AT,KA,9945,AT,KA
9046,AT,WB,9146,VI,MH,9246,,,9346,RJ,AP,9446,CG,KL,9546,AT,BR,9646,VI,PB,9746,AT,KL,9846,VI,KL,9946,VI,KL
9047,VI,TN,9147,AT,KO,9247,,,9347,RJ,AP,9447,CG,KL,9547,AT,WB,9647,VI,WB,9747,VI,KL,9847,VI,KL,9947,VI,KL
9048,VI,KL,9148,AT,KA,9248,,,9348,RJ,OR,9448,CG,KA,9548,RJ,UW,9648,VI,UE,9748,AT,KO,9848,VI,AP,9948,VI,AP
9049,VI,MH,9149,RJ,JK,9249,RJ,KL,9349,RJ,KL,9449,CG,KA,9549,VI,RJ,9649,VI,RJ,9749,RJ,WB,9849,AT,AP,9949,AT,AP
9050,VI,HR,9150,AT,TN,9250,RJ,UE,9350,RJ,HR,9450,CG,UE,9550,AT,AP,9650,AT,DL,9750,,,9850,VI,MH,9950,AT,RJ
9051,VI,KO,9151,AT,UE,9251,RJ,RJ,9351,,,9451,CG,UE,9551,,,9651,AT,UE,9751,VI,TN,9851,,,9951,,
9052,VI,AP,9152,VI,MU,9252,RJ,RJ,9352,,,9452,CG,UE,9552,VI,MH,9652,AT,AP,9752,AT,MP,9852,,,9952,AT,TN
9053,AT,HR,9153,,,9253,,,9353,RJ,KA,9453,CG,UE,9553,VI,AP,9653,RJ,UE,9753,VI,MP,9853,,,9953,VI,DL
9054,AT,HP,9154,AT,AP,9254,RJ,HR,9354,RJ,DL,9454,CG,UE,9554,VI,UE,9654,VI,DL,9754,VI,MP,9854,,,9954,AT,AS
9055,AT,JK,9155,AT,BR,9255,CG,MU,9355,VI,DL,9455,CG,UE,9555,RJ,UE,9655,VI,TN,9755,AT,MP,9855,VI,PB,9955,AT,BR
